candidate	job_id	job_name
1iko_A	e17cc07c-b529-469f-8cb5-5ee23609b03d	1iko-A
1trn	b8cb9fc4-b6a7-4efe-8a25-1788509943b1	1trn
1trn_A	5dba45e8-d00c-45b1-b13f-31392853cd7f	1trn-A
1v3d	1ce150ca-a9b8-4ecc-afdd-57ca9f591949	1v3d
1v3d_A	d29d22ba-18b0-4433-96bc-5abd9e083e27	1v3d-A
2bba	3114fccf-e0b4-4492-b2f1-b8c11b653d94	2bba
2bba_A	0b9180f8-db32-4729-9a9c-47049d630a17	2bba-A
2hle	24fe8b17-51f5-40d9-8fd5-29effae7a404	2hle
2hle_A	8ddc5e1f-4cad-4bfb-8855-0d1817f21091	2hle-A
2vsk	189d4033-0524-45bf-ace1-16090bd21231	2vsk
2vsk_A	7613b436-7b28-4cf6-979f-c54de710b9f2	2vsk-A
2vsm	b8d6e3cc-6b4a-464a-ba1a-01de28329c3d	2vsm
2vsm_A	63d1582c-9d48-42f2-9c97-0d40d355f5a5	2vsm-A
2vwd	4ff2340f-5fe6-4121-bce4-5b1bbfca92b5	2vwd
2vwd_A	d6fa43ad-c3e4-4c94-a43a-8b22127536a1	2vwd-A
2vwd_A_boltz2	28a22d68-d7e3-4f08-9847-00ff9544eec5	2vwd-A-boltz2
2x9m	5ccd8422-c3bb-4ed3-83b7-3988eeb7bb50	2x9m
2x9m_A	dc13da15-d84b-4430-8bc5-0832364de351	2x9m-A
3d11	9b826b9b-76b5-48cc-9713-399c840742af	3d11
3d12	7ffa0d5a-2c77-472c-bae3-7387a38506f8	3d12
3d12_A	e8d357de-cfb5-429c-ba8b-144fb3f36bc4	3d12-A
3gxu	d1b4e80c-a667-42fd-aad6-98d3a8fbea35	3gxu
3gxu_A	08f3c5b9-7030-4778-9c19-371b5a041b43	3gxu-A
4wwy	a34d7089-e939-40bc-90f3-6a757d743679	4wwy
5kv9_A	afb1a50c-c6f1-489c-a5a3-61ca25bdc653	5kv9-A
5nop	e7afbdc7-8593-470d-ba1e-9232889f8e0a	5nop
5nop_A	d10c0436-e7fc-4ad0-b8dd-8c2aafd444b4	5nop-A
6cmg	177133af-8e96-4739-ab2f-c40f5bebc25d	6cmg
6cmg_A	fef533c1-cf8f-4964-b6f5-cb4edbbb6c97	6cmg-A
6cmi_A	cdfbf7ad-5dc7-4963-8dfc-0a00c2ac65d5	6cmi-A
6p72	5a23b268-b664-4617-bf77-e680034fc95a	6p72
6p72_A	8ccf3961-2a37-4ad1-8591-926617de2e84	6p72-A
6pd4	895a93cd-868e-4a48-b671-97c16e6f613a	6pd4
6pd4_A	a7ec2ecc-d07e-4063-ba6f-1c94c1671362	6pd4-A
